region,year,quarter,gdp
Chile,2013,2,44822.50857565704
Chile,2013,3,44087.19709185648
Chile,2013,4,49104.77485187232
Chile,2014,1,47573.8826020992
Chile,2014,2,48299.12995312512
Chile,2014,3,47172.166770854885
Chile,2014,4,52906.73879456856
Chile,2015,1,51664.650800015515
Chile,2015,2,52133.75324028
Chile,2015,3,50456.45707351272
Chile,2015,4,56141.501870112486
Chile,2016,1,55322.481291750715
Chile,2016,2,54655.63521140736
Chile,2016,3,53808.2100717804
Chile,2016,4,59775.57396158904
Chile,2017,1,57496.40900273592
Chile,2017,2,58074.882421220645
Chile,2017,3,57733.760262114716
Chile,2017,4,63731.87368342128
Chile,2018,1,62270.2790424216
Chile,2018,2,62670.735554893916
Chile,2018,3,60330.356758856884
Chile,2018,4,66943.0828826244
Chile,2019,1,64644.265298306884
Chile,2019,2,65257.61802266664
Chile,2019,3,63784.263190458245
Chile,2019,4,67989.3585441912
Chile,2020,1,68114.3594485608
Chile,2020,2,60880.50592237296
Estonia,2011,1,4458.4922501436295
Estonia,2011,2,4981.415570874179
Estonia,2011,3,5088.928137152039
Estonia,2011,4,5178.05347804251
Estonia,2012,1,4841.461848976529
Estonia,2012,2,5365.43921447451
Estonia,2012,3,5422.474748001
Estonia,2012,4,5511.01450846512
Estonia,2013,1,5212.95407145297
Estonia,2013,2,5658.81500807586
Estonia,2013,3,5702.26507571103
Estonia,2013,4,5717.13881854032
Estonia,2014,1,5458.19515400835
Estonia,2014,2,5981.938287335789
Estonia,2014,3,5970.812259235139
Estonia,2014,4,6223.08030690672
Estonia,2015,1,5582.9237848208995
Estonia,2015,2,6184.783347023429
Estonia,2015,3,6201.765179387579
Estonia,2015,4,6369.826761750029
Estonia,2016,1,5993.76701194806
Estonia,2016,2,6432.483867369479
Estonia,2016,3,6457.7809417878
Estonia,2016,4,6801.28241988471
Estonia,2017,1,6377.67353946312
Estonia,2017,2,7091.730311354309
Estonia,2017,3,7001.668041781679
Estonia,2017,4,7470.24949894695
Estonia,2018,1,6912.659816976479
Estonia,2018,2,7620.86078460417
Estonia,2018,3,7660.09467316962
Estonia,2018,4,8183.369342155979
Estonia,2019,1,7625.311195844429
Estonia,2019,2,8245.67509951962
Estonia,2019,3,8321.21497451877
