region,year,household_savings,gdp,household_debt
Slovenia,2007,8.85341200169744,27531.352845999998,53.005869999999994
Slovenia,2008,8.51717385501728,29594.665838999998,54.52403
Slovenia,2009,5.99124543620496,27537.360097000004,57.147240000000004
Slovenia,2010,4.3758551164643995,27842.257435000003,60.08191
Slovenia,2011,2.9579845479041404,28931.423641,58.82555
Slovenia,2012,0.023793853126685,29048.325999,60.68124
Slovenia,2013,2.41893499482018,29979.618841000003,58.99211
Slovenia,2014,2.41724796185144,30872.728880000002,58.191390000000006
Slovenia,2015,2.7887193061369904,31640.32549,57.25617
Slovenia,2016,3.3727778068884504,33939.339351999995,56.72981
Slovenia,2017,4.8103002453383,36679.686236,56.72166
Slovenia,2018,5.69540626556244,38876.86303,56.68334
South Africa,2000,1.94814576451505,7865.304698000001,
South Africa,2001,1.4184269635983,8123.724947,
South Africa,2002,1.5712037336377298,8352.399734,
South Africa,2003,1.05502393523928,8656.655166,
South Africa,2004,0.920046116186326,9183.875946,
South Africa,2005,0.494941372024891,9847.957943000001,
South Africa,2006,-1.7428467182005802,10580.512387,
South Africa,2007,-2.26747482138619,11300.497093,
South Africa,2008,-1.07652781213833,11732.029766,
South Africa,2009,-0.52767515743353,11483.44306,
South Africa,2010,-0.8338311291052609,11806.055909,
South Africa,2011,-1.27315936526715,12227.241684999999,
South Africa,2012,-1.98956403615799,12194.847704,
South Africa,2013,-2.30507645343983,12597.620884,
South Africa,2014,-2.03683304030104,12668.737647,
South Africa,2015,-0.830271768499236,12695.428681,
South Africa,2016,-0.9063782949398052,12720.080751000001,
South Africa,2017,0.20250936267024397,12810.965544,
South Africa,2018,-0.10413729892916199,,
South Africa,2019,-0.251802022878503,,
Canada,2000,5.36652742782042,29363.642463,113.7776
Canada,2001,4.986054542234809,30214.480582999997,114.1395
Canada,2002,3.1452535553821304,30963.222007,118.2778
Canada,2003,2.13904528835688,32333.575435000002,123.8027
Canada,2004,2.7101525483461297,33911.261377999996,129.7153
Canada,2005,1.61827816496362,36327.662058999995,138.673
Canada,2006,2.7352958537893395,38106.959546,143.1893
Canada,2007,2.26973699891787,39554.852119,151.5226
Canada,2008,3.4289223419119303,40376.330167,156.5409
Canada,2009,4.69159156021622,38893.179137,163.9766
Canada,2010,4.440903444263321,40113.526984,165.8246
Canada,2011,4.35459983458676,41666.718851,168.6607
Canada,2012,4.9378736515918895,42290.879082,169.0748
Canada,2013,4.94790792716805,44298.514462,169.1587
Canada,2014,3.69130364904715,45753.782936,171.2671
Canada,2015,4.2266262491729805,44671.409504,173.2265
